Short_Desc,MajorGroup,FdGp_Desc,GmWt_1,Vitamins,Value
"CHEESE,FETA",Dairy and Egg,Dairy and Egg Products,150,Vit_A,447
"CHEESE,FETA",Dairy and Egg,Dairy and Egg Products,150,Vit_C,0
"CHEESE,FETA",Dairy and Egg,Dairy and Egg Products,150,Vit_E,0.03
"CHEESE,FETA",Dairy and Egg,Dairy and Egg Products,150,Thiamin,0.154
"CHEESE,FETA",Dairy and Egg,Dairy and Egg Products,150,Riboflavin,0.844
"CHEESE,FETA",Dairy and Egg,Dairy and Egg Products,150,Niacin,0.991
"CHEESE,FONTINA",Dairy and Egg,Dairy and Egg Products,132,Vit_A,1174
"CHEESE,FONTINA",Dairy and Egg,Dairy and Egg Products,132,Vit_C,0
"CHEESE,FONTINA",Dairy and Egg,Dairy and Egg Products,132,Vit_E,0.35
"CHEESE,FONTINA",Dairy and Egg,Dairy and Egg Products,132,Thiamin,0.021
"CHEESE,FONTINA",Dairy and Egg,Dairy and Egg Products,132,Riboflavin,0.204
"CHEESE,FONTINA",Dairy and Egg,Dairy and Egg Products,132,Niacin,0.15
"CHEESE,GJETOST",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,1113
"CHEESE,GJETOST",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE,GJETOST",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0
"CHEESE,GJETOST",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.315
"CHEESE,GJETOST",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,1.382
"CHEESE,GJETOST",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.813
"CHEESE,GOUDA",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,644
"CHEESE,GOUDA",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE,GOUDA",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0.35
"CHEESE,GOUDA",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.03
"CHEESE,GOUDA",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.334
"CHEESE,GOUDA",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.063
"CHEESE,GRUYERE",Dairy and Egg,Dairy and Egg Products,132,Vit_A,1219
"CHEESE,GRUYERE",Dairy and Egg,Dairy and Egg Products,132,Vit_C,0
"CHEESE,GRUYERE",Dairy and Egg,Dairy and Egg Products,132,Vit_E,0.35
"CHEESE,GRUYERE",Dairy and Egg,Dairy and Egg Products,132,Thiamin,0.06
"CHEESE,GRUYERE",Dairy and Egg,Dairy and Egg Products,132,Riboflavin,0.279
"CHEESE,GRUYERE",Dairy and Egg,Dairy and Egg Products,132,Niacin,0.106
"CHEESE,LIMBURGER",Dairy and Egg,Dairy and Egg Products,134,Vit_A,1281
"CHEESE,LIMBURGER",Dairy and Egg,Dairy and Egg Products,134,Vit_C,0
"CHEESE,LIMBURGER",Dairy and Egg,Dairy and Egg Products,134,Vit_E,0.64
"CHEESE,LIMBURGER",Dairy and Egg,Dairy and Egg Products,134,Thiamin,0.08
"CHEESE,LIMBURGER",Dairy and Egg,Dairy and Egg Products,134,Riboflavin,0.503
"CHEESE,LIMBURGER",Dairy and Egg,Dairy and Egg Products,134,Niacin,0.158
"CHEESE,MONTEREY",Dairy and Egg,Dairy and Egg Products,132,Vit_A,950
"CHEESE,MONTEREY",Dairy and Egg,Dairy and Egg Products,132,Vit_C,0
"CHEESE,MONTEREY",Dairy and Egg,Dairy and Egg Products,132,Vit_E,0.34
"CHEESE,MONTEREY",Dairy and Egg,Dairy and Egg Products,132,Thiamin,0.015
"CHEESE,MONTEREY",Dairy and Egg,Dairy and Egg Products,132,Riboflavin,0.39
"CHEESE,MONTEREY",Dairy and Egg,Dairy and Egg Products,132,Niacin,0.093
"CHEESE,MOZZARELLA,WHL MILK",Dairy and Egg,Dairy and Egg Products,112,Vit_A,792
"CHEESE,MOZZARELLA,WHL MILK",Dairy and Egg,Dairy and Egg Products,112,Vit_C,0
"CHEESE,MOZZARELLA,WHL MILK",Dairy and Egg,Dairy and Egg Products,112,Vit_E,0.35
"CHEESE,MOZZARELLA,WHL MILK",Dairy and Egg,Dairy and Egg Products,112,Thiamin,0.015
"CHEESE,MOZZARELLA,WHL MILK",Dairy and Egg,Dairy and Egg Products,112,Riboflavin,0.243
"CHEESE,MOZZARELLA,WHL MILK",Dairy and Egg,Dairy and Egg Products,112,Niacin,0.084
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,904
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0.665
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.016
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.27
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.094
"CHEESE,MOZZARELLA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,584
"CHEESE,MOZZARELLA,PART SKIM MILK",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
